Date,AAPL,AMZN,AVGO,COST,GOOG,GOOGL,HD,JPM,LLY,MA,META,MSFT,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM
2019-03-15,44.632877349853516,85.61799621582031,24.332962036132812,213.1715545654297,59.01096725463867,59.30003356933594,158.43258666992188,90.14669799804688,114.21540069580078,223.9378204345703,165.48175048828125,109.71743774414062,4.215421199798584,48.377506256103516,88.76554107666016,18.36199951171875,230.57933044433594,149.36837768554688,30.059490203857422,60.6810188293457
2019-03-18,45.08850860595703,87.10749816894531,24.630542755126953,215.90011596679688,59.00100326538086,59.21284866333008,159.46719360351562,90.68816375732422,115.41341400146484,223.18223571777344,159.98831176757812,111.28872680664062,4.1940717697143555,48.85269546508789,87.95967102050781,17.965999603271484,233.8811798095703,148.88796997070312,30.438213348388672,61.38511276245117
2019-03-19,44.731204986572266,88.09249877929688,25.08905601501465,216.31985473632812,59.7278938293457,59.90583801269531,160.08448791503906,90.35822296142578,116.65747833251953,223.7828369140625,161.08499145507812,111.36446380615234,4.361884117126465,49.38270568847656,88.29762268066406,17.83133316040039,235.83482360839844,148.53245544433594,30.496234893798828,61.22611618041992
2019-03-20,45.12208557128906,89.8635025024414,24.612911224365234,216.25599670410156,60.97939682006836,61.100006103515625,161.79721069335938,88.42919158935547,118.10430145263672,222.69789123535156,164.943359375,111.24139404296875,4.329364776611328,48.10335922241211,88.14163970947266,18.239999771118164,229.75389099121094,147.725341796875,30.126684188842773,61.56681823730469
2019-03-21,46.78395080566406,90.96299743652344,25.10089111328125,218.5921173095703,61.35654067993164,61.583255767822266,165.16184997558594,87.03321838378906,118.24251556396484,228.49078369140625,165.58145141601562,113.79713439941406,4.566188812255859,49.38270568847656,88.80885314941406,18.26799964904785,231.14801025390625,149.69505310058594,30.25495719909668,61.922645568847656
2019-03-22,45.815128326416016,88.2385025024414,24.749916076660156,216.78524780273438,60.0592041015625,60.164398193359375,164.10116577148438,84.4020004272461,118.2332992553711,223.54066467285156,163.8466796875,110.7965087890625,4.406319618225098,48.22216796875,88.08966064453125,17.635332107543945,226.62632751464844,147.07205200195312,30.016727447509766,60.93085479736328
2019-03-25,45.26118087768555,88.71299743652344,24.70847511291504,216.24688720703125,59.436439514160156,59.65275192260742,164.90966796875,83.69979858398438,119.68013763427734,223.21128845214844,165.79080200195312,111.37393951416016,4.3139729499816895,48.19474411010742,88.349609375,17.3613338470459,226.41537475585938,147.0335693359375,29.983135223388672,60.50688934326172
2019-03-26,44.793556213378906,89.18800354003906,25.120346069335938,218.16323852539062,59.01893997192383,59.27711868286133,164.6141357421875,84.53736877441406,120.7398910522461,225.9915313720703,167.17665100097656,111.61056518554688,4.39068078994751,48.688209533691406,89.26811981201172,17.851333618164062,223.2327423095703,149.2146453857422,30.028949737548828,61.29425811767578
2019-03-27,45.19642639160156,88.28500366210938,25.03069496154785,218.47352600097656,58.441017150878906,58.68775177001953,164.5358428955078,84.2497329711914,118.66644287109375,225.24562072753906,165.37208557128906,110.53147888183594,4.381495475769043,48.25871276855469,89.16413116455078,18.32200050354004,221.69186401367188,148.17694091796875,29.68992805480957,60.82485580444336
2019-03-28,45.256378173828125,88.6709976196289,25.292869567871094,220.1251983642578,58.21532440185547,58.401790618896484,165.24009704589844,85.20574951171875,118.83232879638672,227.5124053955078,165.0530548095703,110.68290710449219,4.4001145362854,48.60595703125,89.72737121582031,18.57466697692871,222.16876220703125,148.60931396484375,29.665489196777344,61.12770080566406
2019-03-29,45.55133056640625,89.0374984741211,25.431560516357422,220.96473693847656,58.45546340942383,58.631954193115234,166.83106994628906,85.64570617675781,119.57875061035156,228.08392333984375,166.1896209716797,111.63896179199219,4.45745849609375,49.08115005493164,90.16061401367188,18.657333374023438,226.78219604492188,150.0697479248047,29.787660598754883,61.17313003540039
2019-04-01,45.860687255859375,90.70950317382812,25.861186981201172,222.8354949951172,59.50768280029297,59.73246383666992,170.09136962890625,88.53074645996094,118.9244613647461,231.5713348388672,168.19358825683594,112.66126251220703,4.524980068206787,49.87617111206055,89.80532836914062,19.278667449951172,225.2046661376953,151.0978240966797,29.876237869262695,61.87723922729492
